"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*3*3*7*",190842.505690747,543812.278679028,"1","4044",0.388,0,"43130","11680640","201703"
"4*4*0*6*",188179.996135732,545056.868861328,"1","4549",0.221,0.1166,"11590680","11740550","201710"
"4*3*7*6*",189930.37957952,545324.88774461,"1","6064",0.0227,1.1115,"11590530","11680656","201709"
"4*5*2*7*",190388.29911978,544874.9240943,"2","4549",0,0.0745,"11590520","11740580","201612"
"4*8*8*3*",189486.25144699,544166.493206598,"2","3539",0,0,"48310","11215860","201705"
"4*4*0*7*",191196.189993629,543604.339316167,"1","6064",0.0006,0,"43113","11680750","201603"
"4*8*1*0*",189584.651934048,542573.518921579,"1","2024",0.1044,0.0395,"45750","11680730","201602"
"4*7*1*3*",188781.536339348,544218.610957035,"2","3539",0.108,0,"11545610","11560620","201609"
"4*6*0*8*",189372.998131676,544403.740832684,"1","3539",0,0,"11530560","11440720","201608"
"4*8*3*9*",188783.127651104,543767.587040964,"2","3539",0.072,0,"11290660","11470611","201704"
"4*4*3*8*",189524.577234412,543562.829914057,"1","2024",0.0158,0,"11620725","11530750","201612"
"4*8*5*8*",189775.087070034,542428.833814942,"2","4549",0.154,0.4428,"11530560","11680531","201605"
"4*8*2*6*",190493.594518605,544510.628822186,"1","2024",0.2175,0,"11545510","11560680","201607"
"4*6*1*2*",190384.055930415,544004.835766328,"1","2024",0,0,"11140670","11710600","201608"
"4*7*7*2*",190380.342853858,543020.300422337,"2","5054",0,0.1019,"11560710","11110570","201604"
"4*7*6*4*",189371.937054041,542781.987710214,"1","3034",0.1121,0,"11710590","11620575","201706"
"4*5*9*5*",190070.287601258,544472.834412868,"2","4549",0.1124,0.5132,"11560660","11620585","201603"
"4*9*8*1*",190221.867016219,544557.972108114,"1","4549",0,0.051,"11710650","11680510","201708"
"4*5*0*7*",190592.52578624,542824.559297055,"1","6569",0.9328,0.11,"41281","11710631","201705"
"4*7*7*9*",190749.407592189,545018.545300871,"1","4044",0,0.0382,"11410685","11440655","201608"
"4*4*8*9*",190038.327638622,543522.381141912,"2","5559",0.09,0,"41610","11500535","201605"
"4*5*5*7*",190268.679574146,542529.88639137,"1","3539",1.3079,0.9124,"11620655","11440680","201610"
"4*5*6*0*",188732.071014915,543567.073095219,"2","3539",0.0398,0.0298,"26200","11470510","201601"
"4*5*9*6*",188936.827857245,545118.537092576,"1","5054",0.506,0,"28200","11680630","201605"
"4*3*7*7*",188977.806208749,544263.83258761,"2","5054",1.109,0,"11470520","11545710","201602"
"4*3*9*0*",188969.848339079,545007.934194319,"2","5054",0.0531,0.1663,"11530560","11350621","201801"
"4*3*2*2*",191098.319079511,543128.777851012,"1","2024",0.1695,0.0936,"41570","11305600","201710"
