"A 동별(1)","13999001 항목",Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4
"A 동별(1)","13999001 항목",001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상,001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상
"006 광진구","T003 등록외국인",17950,264,273,279,1362,5315,3750,1461,1080,837,674,673,947,569,299,120,24,7,10,3,1,2,17683,220,252,294,678,5273,4220,1593,1085,841,664,580,801,663,318,138,36,9,9,6,1,2
"007 동대문구","T001 계",366923,8425,9429,10896,13349,32536,36085,31449,25199,25261,23519,26490,26640,24866,24354,17787,13396,9878,5207,1736,370,51,371954,8811,9292,10908,13380,32759,36639,32308,26141,25296,24002,26406,27143,24793,24688,18379,13479,9901,5370,1824,381,54
"007 동대문구","T002 한국인",346241,8247,9257,10765,11853,24143,30908,29693,24262,24685,23094,26084,26204,24559,24191,17715,13369,9870,5195,1728,368,51,351542,8653,9129,10772,12730,24650,31006,30263,25171,24667,23549,26036,26720,24431,24528,18293,13448,9889,5360,1815,379,53
"007 동대문구","T003 등록외국인",20682,178,172,131,1496,8393,5177,1756,937,576,425,406,436,307,163,72,27,8,12,8,2,-,20412,158,163,136,650,8109,5633,2045,970,629,453,370,423,362,160,86,31,12,10,9,2,1
"008 중랑구","T001 계",383764,8037,8997,11231,12410,18104,29261,33836,26435,26089,25554,29385,33057,33240,31440,22155,15842,10823,5520,1853,435,60,383570,8004,8654,11145,12353,17948,29182,33856,26544,25745,25530,28856,33148,32846,32005,22834,15992,10838,5674,1920,433,63
"008 중랑구","T002 한국인",376916,7828,8808,11072,12011,16737,28202,33085,25752,25642,25174,29031,32659,32987,31315,22109,15821,10821,5518,1849,435,60,376665,7822,8470,10971,12105,16473,28102,33096,25839,25271,25153,28530,32745,32559,31869,22781,15960,10835,5673,1917,431,63
"008 중랑구","T003 등록외국인",6848,209,189,159,399,1367,1059,751,683,447,380,354,398,253,125,46,21,2,2,4,-,-,6905,182,184,174,248,1475,1080,760,705,474,377,326,403,287,136,53,32,3,1,3,2,-
"009 성북구","T001 계",437496,9466,12280,15965,19677,35135,36055,31693,27380,30258,30573,36471,34832,30174,28844,21022,16227,12036,6572,2237,527,72,437287,9465,11988,15835,19398,35185,36032,31807,27386,29875,30492,36042,35248,29865,29114,21555,16344,11988,6712,2347,540,69
"009 성북구","T002 한국인",422559,9321,12136,15841,17975,29671,32948,30376,26572,29634,30149,36119,34544,29976,28728,20966,16192,12018,6565,2231,527,70,422778,9344,11840,15711,18662,29673,32680,30338,26570,29227,30046,35693,34946,29640,28995,21484,16308,11970,6704,2340,540,67
"009 성북구","T003 등록외국인",14937,145,144,124,1702,5464,3107,1317,808,624,424,352,288,198,116,56,35,18,7,6,-,2,14509,121,148,124,736,5512,3352,1469,816,648,446,349,302,225,119,71,36,18,8,7,-,2
"010 강북구","T001 계",285900,4063,5691,8141,10416,16948,20952,19907,15455,17660,19202,24009,24950,24100,23883,18001,14328,10689,5429,1644,387,45,285862,4111,5504,8051,10198,17025,20815,19904,15537,17352,19186,23713,25194,23859,24218,18396,14435,10580,5611,1738,387,48
"010 강북구","T002 한국인",278928,3959,5615,8091,9718,14705,19547,19323,15029,17351,18953,23771,24733,23923,23771,17956,14306,10681,5427,1642,385,42,278786,4017,5422,7994,9905,14592,19243,19256,15078,17031,18922,23494,24967,23667,24094,18347,14411,10570,5608,1737,386,45
"010 강북구","T003 등록외국인",6972,104,76,50,698,2243,1405,584,426,309,249,238,217,177,112,45,22,8,2,2,2,3,7076,94,82,57,293,2433,1572,648,459,321,264,219,227,192,124,49,24,10,3,1,1,3
"011 도봉구","T001 계",303051,5058,6915,9949,11500,14822,19656,20763,17226,19595,20463,25143,27165,26461,26908,19258,13929,10193,5639,1908,432,68,302196,5065,6624,9835,11426,14625,19469,20668,17099,19293,20379,24731,27305,26148,27234,19797,14068,10125,5818,1979,434,74
"011 도봉구","T002 한국인",299899,4992,6846,9910,11294,14142,19144,20406,16906,19345,20315,24976,27005,26374,26857,19233,13919,10192,5636,1907,432,68,299065,5007,6565,9789,11324,13913,18939,20304,16780,19040,20222,24564,27131,26049,27187,19770,14058,10123,5814,1978,434,74
"011 도봉구","T003 등록외국인",3152,66,69,39,206,680,512,357,320,250,148,167,160,87,51,25,10,1,3,1,-,-,3131,58,59,46,102,712,530,364,319,253,157,167,174,99,47,27,10,2,4,1,-,-
"012 노원구","T001 계",489003,9997,13000,20216,24334,31255,32547,33170,28964,32785,36775,43192,41081,36911,35763,26060,18766,13226,7439,2776,661,85,487707,10013,12723,20072,24338,30600,32437,33244,28963,32417,36626,42235,41360,36443,36207,26779,18885,13170,7559,2888,662,86
"012 노원구","T002 한국인",483541,9959,12936,20168,23932,29653,31467,32548,28545,32462,36549,42986,40894,36781,35704,26028,18753,13220,7436,2775,660,85,482487,9985,12667,20014,24178,29112,31275,32622,28529,32090,36394,42028,41184,36308,36137,26742,18869,13164,7556,2886,661,86
"012 노원구","T003 등록외국인",5462,38,64,48,402,1602,1080,622,419,323,226,206,187,130,59,32,13,6,3,1,1,-,5220,28,56,58,160,1488,1162,622,434,327,232,207,176,135,70,37,16,6,3,2,1,-
