업종명,업소명,소재지(도로명),소재지(지번),업태명,
휴게음식점,구대회커피 상수래미안점,서울특별시 마포구 독막로20나길 21  상가동 1층 106호 (상수동  래미안 밤섬 리베뉴Ⅱ),서울특별시 마포구 상수동 398 래미안 밤섬 리베뉴Ⅱ ,커피숍,
휴게음식점,구름뜬하늘,서울특별시 마포구 와우산로27길 21  2층 (서교동),서울특별시 마포구 서교동 339-5 2층 ,커피숍,
휴게음식점,굿애프터눈 합정점,서울특별시 마포구 월드컵로3길 14 (합정동  마포한강2차푸르지오상업시설 120호),서울특별시 마포구 합정동 473 마포한강2차푸르지오상업시설 120호 ,커피숍,
휴게음식점,규리네과일가게 마포신촌점,서울특별시 마포구 서강로11길 24  1층 우측호 (창전동),서울특별시 마포구 창전동 2-33 ,커피숍,
휴게음식점,그라찌에,서울특별시 마포구 와우산로 94 (상수동  홍익대홍문관 R201),서울특별시 마포구 상수동 72-1 홍익대홍문관 R201 ,커피숍,
휴게음식점,그레이스 미디어 주식회사,서울특별시 마포구 성지1길 7 (합정동  1층),서울특별시 마포구 합정동 373-22 ,커피숍,
휴게음식점,그리다,서울특별시 마포구 동교로17안길 47  이룸빌딩 1층 101호 (서교동),서울특별시 마포구 서교동 448-4 이룸빌딩 ,커피숍,
휴게음식점,그리운꼬마,서울특별시 마포구 동교로18길 9  1층 (서교동),서울특별시 마포구 서교동 464-10 1층 ,커피숍,
휴게음식점,그릭데이 홍대점,서울특별시 마포구 홍익로 10  101동 119호 (서교동 서교푸르지오 1층),서울특별시 마포구 서교동 486 서교푸르지오 1층 101동 119호,커피숍,
휴게음식점,그림제작소 연남점,서울특별시 마포구 성미산로 170  2층 201호 (연남동),서울특별시 마포구 연남동 239-39 ,커피숍,
휴게음식점,글래드 앤 솔티(GLAD & SALTY),서울특별시 마포구 대흥로24바길 11  솔틴비전센터 2층 일부호 (염리동),서울특별시 마포구 염리동 532-3 솔틴비전센터 ,커피숍,
휴게음식점,기프트앤카페,서울특별시 마포구 토정로 224 (신수동),서울특별시 마포구 신수동 448-23 1층호,커피숍,
휴게음식점,까페,서울특별시 마포구 토정로31길 23 (용강동  마포 리버웰지2층일부),서울특별시 마포구 용강동 502 마포 리버웰지2층일부 ,커피숍,
휴게음식점,꼬르소산도(CorsoSando),서울특별시 마포구 월드컵로 157 (망원동  1층일부),서울특별시 마포구 망원동 474-2 ,커피숍,
휴게음식점,꼬모레 커피,서울특별시 마포구 월드컵북로4길 65  1층 (동교동),서울특별시 마포구 동교동 204-37 ,커피숍,
휴게음식점,꽈페 망원점,서울특별시 마포구 포은로 83  1 2층 (망원동  오체어스빌딩),서울특별시 마포구 망원동 399-57 오체어스빌딩 ,커피숍,
휴게음식점,꽈페 홍대점,서울특별시 마포구 홍익로6길 8  지1층 일부호 (동교동),서울특별시 마포구 동교동 163-19 ,커피숍,
휴게음식점,나른한순간 Idle moments,서울특별시 마포구 잔다리로 93 (서교동  2층일부(1호)),서울특별시 마포구 서교동 467-2 2층일부(1호) ,커피숍,
휴게음식점,나우올네버(now oR never),서울특별시 마포구 월드컵로19길 15  망원경 지1층 B01호 (망원동),서울특별시 마포구 망원동 57-23 망원경 ,커피숍,
휴게음식점,나카페,서울특별시 마포구 희우정로16길 25  1층 (망원동),서울특별시 마포구 망원동 405-23 ,커피숍,
휴게음식점,낙랑파라,서울특별시 마포구 연희로1길 21 (동교동  1층),서울특별시 마포구 동교동 148-3 1층 ,커피숍,
휴게음식점,낙랑파라망원,서울특별시 마포구 망원로 7-12  1 2층 (망원동  2호),서울특별시 마포구 망원동 453-2 ,커피숍,
휴게음식점,날쌘카페 합정점,서울특별시 마포구 양화로 72  효성 해링턴 타워 101동 1층 114호 (서교동),서울특별시 마포구 서교동 494 ,커피숍,
휴게음식점,낭과자점,서울특별시 마포구 와우산로29길 14-25  1층 좌측호 (서교동),서울특별시 마포구 서교동 328-11 ,커피숍,
휴게음식점,넌슬립,서울특별시 마포구 월드컵로17길 61  지층 (망원동),서울특별시 마포구 망원동 57-100 ,커피숍,
휴게음식점,널독(NERDOG),서울특별시 마포구 희우정로16길 46  1층 (망원동),서울특별시 마포구 망원동 399-46 ,커피숍,
휴게음식점,널디스카페(NERDY'S CAFE),서울특별시 마포구 어울마당로 94-12  1층 (서교동),서울특별시 마포구 서교동 358-117 ,커피숍,
휴게음식점,네임이즈마빈(NAME iS MAVIN),서울특별시 마포구 월드컵로20길 6  1층 (서교동),서울특별시 마포구 서교동 5-3 ,커피숍,
휴게음식점,노란구름빵,서울특별시 마포구 와우산로29마길 12 (서교동  지하1층일부),서울특별시 마포구 서교동 332-35 ,커피숍,
휴게음식점,노란코끼리,서울특별시 마포구 월드컵북로2길 11 (동교동  1층일부),서울특별시 마포구 동교동 161-5 ,커피숍,
휴게음식점,노란코끼리커피로스터스,서울특별시 마포구 월드컵로11길 71  2층 (망원동),서울특별시 마포구 망원동 338-69 2층 ,커피숍,
휴게음식점,노란코끼리커피로스터스,서울특별시 마포구 월드컵로11길 79 (망원동  1층일부),서울특별시 마포구 망원동 338-20 1층일부 ,커피숍,
휴게음식점,노란코끼리커피로스터스,서울특별시 마포구 동교로22길 23 (서교동  1층),서울특별시 마포구 서교동 375-11 ,커피숍,
휴게음식점,노을공원전망대,서울특별시 마포구 하늘공원로 84 (상암동  1층일부),서울특별시 마포구 상암동 481-6 1층일부 ,커피숍,
휴게음식점,노을공원전망대,서울특별시 마포구 하늘공원로 84 (상암동  노을공원전망대 1층 일부),서울특별시 마포구 상암동 481-6 ,커피숍,
휴게음식점,노트커피(NOTT COFFEE),서울특별시 마포구 잔다리로2길 22  1층 (서교동),서울특별시 마포구 서교동 367-30 ,커피숍,
휴게음식점,논나,서울특별시 마포구 망원로6길 61  1층 101호 (망원동  화이트빌),서울특별시 마포구 망원동 399-9 화이트빌 ,커피숍,
휴게음식점,놀숲플러스 홍대점,서울특별시 마포구 양화로16길 29  홍익몰 지하1층 일부 (서교동),서울특별시 마포구 서교동 357-5 홍익몰 ,커피숍,
휴게음식점,높은댕이,서울특별시 마포구 마포대로 236  1층 106호 (아현동  예미원아파트),서울특별시 마포구 아현동 371-1 예미원아파트 ,커피숍,
휴게음식점,누가의료기 신촌2지점,서울특별시 마포구 서강로 106  신촌크리닉존 1층 102호 (신수동),서울특별시 마포구 신수동 66-2 신촌크리닉존 ,커피숍,
