"년월(STD_YM)","년월일(STD_YMD)","블록코드(BLOCK_CD)","X좌표(X_COORD)","Y좌표(Y_COORD)","유입지코드(INFLOW_CD)","시간대0시~1시미만(AVG_00TMST)","시간대1시~2시미만(AVG_01TMST)","시간대2시~3시미만(AVG_02TMST)","시간대3시~4시미만(AVG_03TMST)","시간대4시~5시미만(AVG_04TMST)","시간대5시~6시미만(AVG_05TMST)","시간대6시~7시미만(AVG_06TMST)","시간대7시~8시미만(AVG_07TMST)","시간대8시~9시미만(AVG_08TMST)","시간대9시~10시미만(AVG_09TMST)","시간대10시~11시미만(AVG_10TMST)","시간대11시~12시미만(AVG_11TMST)","시간대12시~13시미만(AVG_12TMST)","시간대13시~14시미만(AVG_13TMST)","시간대14시~15시미만(AVG_14TMST)","시간대15시~16시미만(AVG_15TMST)","시간대16시~17시미만(AVG_16TMST)","시간대17시~18시미만(AVG_17TMST)","시간대18시~19시미만(AVG_18TMST)","시간대19시~20시미만(AVG_19TMST)","시간대20시~21시미만(AVG_20TMST)","시간대21시~22시미만(AVG_21TMST)","시간대22시~23시미만(AVG_22TMST)","시간대23시~0시미만(AVG_23TMST)"
"201604","20160403","1*0*0*6*4*0*4*0*0*0*",960703.375,1957589,"31710",0.01,0,0.01,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.07,0.01,0,0.01,0,0.11,0,0,0,0,0
"201605","20160516","1*0*0*1*1*0*5*0*0*0*",956277.3125,1955300,"43114",0,0,0,0,0,0,0,0,0,0.03,0,0.5,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0,0.01
"201602","20160225","1*0*0*1*2*0*7*0*0*0*",956569.375,1954935,"11290",0.01,0.01,0,0,0,0,0,0.01,0.03,0,0.02,0,0.02,0.02,0.26,0.05,0,0.1,0.01,0.01,0,0.03,0.02,0.02
"201510","20151030","1*0*0*4*1*0*0*0*0*0*",960214.375,1955029,"28245",0,0,0,0,0,0,0,0,0.12,0,0,0.13,0.02,0.01,0.01,0,0,0.75,0,0,0,0.01,0.03,0.03
"201509","20150920","1*0*0*1*2*0*7*0*0*0*",960411,1956058,"27200",0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.01,0.04,0.03,0.05,0.21,0,0,0.01,0.65,0.25,0,0.04
"201508","20150806","1*0*0*2*4*0*1*0*0*0*",960948.375,1955241,"41290",0,0.13,0.03,0,0.01,0,0,0.01,0,0,0,0,0.01,0.03,0.01,0.15,0,0.01,0,0.03,0,0,0,0.01
"201601","20160123","1*0*0*8*1*0*0*0*0*0*",955006.3125,1957231,"44210",0,0.01,0,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0.01,0,0.03,0.01,0,0.05,0.04,0.02
"201603","20160301","1*0*0*2*3*0*3*0*0*0*",961095.3125,1958054,"28110",0.02,0.01,0.03,0,0.05,0,0.02,0,0,0.02,0.01,0,0.01,0,0,0,0.14,0.01,0.01,0.01,0,0,0.05,0
"201510","20151014","1*0*0*2*4*0*1*0*0*0*",957600.375,1954943,"27260",0.01,1.23,0,0,0,0,0,0,0,0.03,0.02,0.01,0.03,0.01,0.09,0,0,0,0.14,0.02,0,0,0,0
"201601","20160128","1*0*0*7*4*0*5*0*0*0*",957009.8125,1957796,"41670",0.04,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0,0,0.12,0.05,0.06,0.08,2.12,0.05,0.25,0.01,0,0
"201601","20160117","1*0*0*2*3*0*6*0*0*0*",955494.5,1954781,"41450",0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0.02,0.36,0,0.18,0,0.01,0.08,0.03
"201605","20160503","1*0*0*6*4*0*2*0*0*0*",957162.1875,1956768,"31170",0.01,0,0,0,0,0,0,0,0,0.06,0,0.28,0.32,0.02,0.02,0.02,0,0,0,0,0,0,0,0
"201511","20151119","1*0*0*4*2*0*2*0*0*0*",956521.6875,1955047,"26320",0,0,0,0,0,0,0,0.02,0.01,0,0.01,0.01,0.27,0.01,0,0.01,0.01,0.04,0.01,0.02,0.02,0,0.01,0
"201601","20160113","1*0*0*1*1*0*5*0*0*0*",956469.875,1955595,"45210",0.03,0,0,0.01,0.03,0,0,0,0,0.26,0,0.01,0,0.09,0.01,0,0,0.22,0.02,0,0,0,0,0
"201606","20160618","1*0*0*7*1*0*4*0*0*0*",960700.8125,1955491,"46720",0,0,0,0.01,0,0,0.02,0,0,0.02,0.08,0.05,0.06,0.03,0.01,0,0,0,0.01,0.01,0,0,0.04,0.12
"201511","20151120","1*0*0*1*4*0*3*0*0*0*",960411.3125,1955597,"27140",0,0,0,0.04,0,0,0.01,0.02,0.09,0,0.01,0.01,0.01,0,0.03,0.01,0,0,0,0.01,0,0,0.05,0
"201606","20160629","1*0*0*1*1*0*6*0*0*0*",957156.625,1955242,"47760",0.01,0.03,0,0,0,0,0,1.72,0,0,0.06,0.01,0,0,0.03,0.01,0.01,0.03,0.01,0,0.01,0.04,0,0.06
"201509","20150922","1*0*0*2*3*0*3*0*0*0*",960607.125,1953910,"41250",0,0,0,0,0,0,0,0.13,0.04,0,0.14,0,0.01,0,0.02,0,0.04,0,0,0.08,0.01,0,0.01,0.01
"201509","20150917","1*0*0*4*1*0*5*0*0*0*",959772.375,1957640,"48129",0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.09,0,0,0.07,0.06,0.03,0,0,0,0.03
"201510","20151027","1*0*0*2*1*0*8*0*0*0*",959813.375,1955295,"26320",0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0.02,0,0,0,0
"201508","20150810","1*0*0*1*4*0*4*0*0*0*",959476.375,1957126,"43730",0,0,0,0,0,0,0.01,0,0.01,0,0.03,0.05,0.03,0.03,0,0.03,0.06,0.01,0.28,0.01,0.01,0,0,0
"201512","20151216","1*0*0*2*4*0*1*0*0*1*",957058.5,1955294,"41463",0.01,0,0,0,0,0,0,0.01,0,0.01,0.02,0.16,0.02,0,0,0,0.01,0,0,0,0.01,0,0.07,0.02
